date   REG1_contr  REG2_contr  REG3_contr  REG4_contr  REG5_contr  REG6_contr  lpyear
------ ------------------------  ------------------------  ------------------------  ------------------------  ------------------------  ------------------------  ------------------------
199001 -2.4933035714285000E-01  7.5066964285714000E-01  7.4995535714285000E-01 -2.5111607142857000E-01 -2.5004464285714000E-01 -2.5075892857142000E-01  0.0000000000000000E+00
199002 -3.1473214285714000E-02 -2.9687500000000000E-02 -3.1473214285714000E-02 -2.9330357142856000E-02 -3.0401785714285000E-02 -3.0401785714285000E-02 -2.4214285714285000E-01
199003 -2.1665178571428000E-01 -3.5772321428571000E-01 -3.5558035714285000E-01  6.4227678571428000E-01  6.4299107142857000E-01  6.4156250000000000E-01  8.8817841970012000E-16
199004  1.4910714285714000E-01 -4.2732142857142000E-01 -4.2767857142857000E-01 -4.2303571428571000E-01 -4.2696428571428000E-01 -4.2660714285714000E-01  1.5543122344752000E-15
199005  3.4622767857142000E-01 -1.0810937500000000E+00  1.1717633928571000E+00  5.6962053571428000E-01 -8.2165178571428000E-02 -8.4665178571428000E-02  1.1102230246251000E-15
199006 -1.0467857142857000E+00 -3.3321428571428000E-01 -3.1750000000000000E-01 -3.0464285714285000E-01  6.6678571428571000E-01  6.6535714285714000E-01  1.7763568394002000E-15
199007  6.2540178571428000E-01  6.2468750000000000E-01 -3.7674107142857000E-01 -3.7388392857142000E-01 -3.7674107142857000E-01 -1.3720982142857000E+00  8.8817841970012000E-16
199008 -2.4955357142857000E-01 -2.4955357142857000E-01 -2.4919642857142000E-01  7.5044642857142000E-01  7.4901785714285000E-01 -2.4991071428571000E-01  7.7715611723761000E-16
199009 -3.7486607142857000E-01 -3.7558035714285000E-01 -3.7450892857142000E-01 -3.7450892857142000E-01 -3.7415178571428000E-01  6.2549107142857000E-01  1.7763568394002000E-15
199010  6.2441964285714000E-01  6.2513392857142000E-01  6.2370535714285000E-01 -3.7593750000000000E-01 -3.7486607142857000E-01 -3.7558035714285000E-01  8.8817841970012000E-16
199011  1.2415178571428000E-01  1.2593750000000000E-01  1.2486607142857000E-01  1.2522321428571000E-01  1.1245089285714000E+00  1.2343750000000000E-01  1.9428902930940000E-15
199012  6.2236607142857000E-01 -1.3747767857142000E+00 -3.7477678571428000E-01 -3.7549107142857000E-01 -3.7263392857142000E-01  6.2343750000000000E-01  9.9920072216264000E-16
199101 -2.4933035714285000E-01 -2.4933035714285000E-01  7.4995535714285000E-01  7.4888392857142000E-01 -2.5004464285714000E-01 -2.5075892857142000E-01 -1.1102230246251000E-16
199102 -3.1473214285714000E-02 -2.9687500000000000E-02 -3.1473214285714000E-02 -2.9330357142856000E-02 -3.0401785714285000E-02 -3.0401785714285000E-02 -2.4214285714285000E-01
199103 -3.4165178571428000E-01 -4.8272321428571000E-01 -4.8058035714285000E-01 -4.8272321428571000E-01  5.1799107142857000E-01  5.1656250000000000E-01  8.8817841970012000E-16
199104  2.7410714285714000E-01  6.9767857142857000E-01 -3.0267857142857000E-01 -2.9803571428571000E-01 -3.0196428571428000E-01 -3.0160714285714000E-01  1.7763568394002000E-15
199105 -7.7877232142857000E-01 -2.0609375000000000E-01 -9.5323660714285000E-01  4.4462053571428000E-01  7.9283482142857000E-01 -2.0966517857142000E-01  8.8817841970012000E-16
199106 -4.6785714285714000E-02 -3.3321428571428000E-01 -3.1750000000000000E-01 -3.0464285714285000E-01 -3.3321428571428000E-01  6.6535714285714000E-01  1.7763568394002000E-15
199107  8.7540178571428000E-01  8.7468750000000000E-01  8.7325892857143000E-01 -1.2388392857142000E-01 -1.2674107142857000E-01 -1.2209821428571000E-01  7.7715611723761000E-16
199108 -2.4955357142857000E-01 -2.4955357142857000E-01 -2.4919642857142000E-01 -2.4955357142857000E-01  7.4901785714285000E-01  7.5008928571428000E-01  7.7715611723761000E-16
199109  6.2513392857142000E-01 -3.7558035714285000E-01 -3.7450892857142000E-01 -3.7450892857142000E-01 -3.7415178571428000E-01 -3.7450892857142000E-01  1.7763568394002000E-15
199110 -3.7558035714285000E-01  6.2513392857142000E-01  6.2370535714285000E-01  6.2406250000000000E-01 -3.7486607142857000E-01 -3.7558035714285000E-01  8.8817841970012000E-16
199111 -1.0008482142857000E+00  9.3750000000039000E-04 -1.3392857142877000E-04  2.2321428571466000E-04 -4.9107142857133000E-04  9.9843750000000000E-01  1.6653345369377000E-15
199112  6.2236607142857000E-01  6.2522321428571000E-01 -1.3747767857142000E+00 -3.7549107142857000E-01 -3.7263392857142000E-01 -3.7656250000000000E-01  8.8817841970012000E-16
199201 -2.4933035714285000E-01 -2.4933035714285000E-01 -2.5004464285714000E-01  7.4888392857142000E-01  7.4995535714285000E-01 -2.5075892857142000E-01  0.0000000000000000E+00
199202 -3.1473214285714000E-02 -2.9687500000000000E-02 -3.1473214285714000E-02 -2.9330357142856000E-02 -3.0401785714285000E-02  9.6959821428571000E-01  7.5785714285714000E-01
199203  6.5834821428571000E-01  5.1727678571428000E-01 -4.8058035714285000E-01 -4.8272321428571000E-01 -4.8200892857142000E-01 -4.8343750000000000E-01  8.8817841970012000E-16
199204 -7.2589285714285000E-01 -3.0232142857142000E-01  6.9732142857143000E-01  7.0196428571428000E-01 -3.0196428571428000E-01 -3.0160714285714000E-01  1.7763568394002000E-15
199205  2.2122767857142000E-01 -2.0609375000000000E-01  4.6763392857143000E-02 -5.5537946428571000E-01 -1.2071651785714000E+00  7.9033482142857000E-01  8.8817841970012000E-16
199206 -4.6785714285714000E-02  6.6678571428571000E-01 -3.1750000000000000E-01 -3.0464285714285000E-01 -3.3321428571428000E-01 -3.3464285714285000E-01  1.9984014443252000E-15
199207 -2.4959821428571000E-01 -1.2503125000000000E+00  7.4825892857142000E-01  7.5111607142857000E-01  7.4825892857143000E-01 -2.4709821428571000E-01  1.2212453270876000E-15
