date   REG1_contr  lpyear
------ ------------------------  ------------------------
199001  8.8944444444444000E-01 -2.2204460492503000E-16
199002 -1.3547619047619000E-01 -2.4214285714285000E-01
199003 -1.1111111111098000E-03  8.8817841970012000E-16
199004 -1.3188888888888000E+00  1.8873791418627000E-15
199005  9.7138888888889000E-01  7.7715611723761000E-16
199006 -1.7050000000000000E+00  1.7763568394002000E-15
199007  8.8500000000000000E-01  7.7715611723761000E-16
199008  8.9000000000000000E-01  7.7715611723761000E-16
199009 -2.2211111111111000E+00  1.7763568394002000E-15
199010  1.3311111111111000E+00  8.8817841970012000E-16
199011  1.5561111111111000E+00  1.9984014443252000E-15
199012 -2.2216666666666000E+00  8.8817841970012000E-16
199101  8.8944444444444000E-01 -1.1102230246251000E-16
199102 -1.3547619047619000E-01 -2.4214285714285000E-01
199103 -1.5566666666666000E+00  8.8817841970012000E-16
199104  2.3666666666666000E-01  1.8873791418627000E-15
199105 -5.8416666666666000E-01  8.8817841970012000E-16
199106 -1.7050000000000000E+00  1.5543122344752000E-15
199107  2.4405555555555000E+00  8.8817841970012000E-16
199108 -6.6555555555555000E-01  9.9920072216264000E-16
199109 -6.6555555555555000E-01  1.7763568394002000E-15
199110  1.3311111111111000E+00  8.8817841970012000E-16
199111 -1.5550000000000000E+00  1.8873791418627000E-15
199112 -6.6611111111111000E-01  8.3266726846886000E-16
199201  8.8944444444444000E-01  0.0000000000000000E+00
199202 -6.9103174603174000E-01  7.5785714285714000E-01
199203 -1.1111111111098000E-03  8.8817841970012000E-16
199204  2.3666666666666000E-01  1.7208456881689000E-15
199205 -2.1397222222222000E+00  8.8817841970012000E-16
199206 -1.4944444444444000E-01  1.7763568394002000E-15
199207  8.8500000000000000E-01  9.9920072216264000E-16
199208 -6.6555555555555000E-01  8.8817841970012000E-16
199209  8.9000000000000000E-01  1.7763568394002000E-15
199210 -2.2444444444444000E-01  8.8817841970012000E-16
199211  5.5555555555648000E-04  1.8318679906315000E-15
199212  8.8944444444444000E-01  8.8817841970012000E-16
199301 -2.2216666666666000E+00  0.0000000000000000E+00
199302 -1.3547619047619000E-01 -2.4214285714285000E-01
199303  1.5544444444444000E+00  8.8817841970012000E-16
199304  2.3666666666666000E-01  1.7208456881689000E-15
199305 -5.8416666666666000E-01  8.3266726846886000E-16
199306  1.4061111111111000E+00  1.7763568394002000E-15
199307 -6.7055555555555000E-01  9.9920072216264000E-16
199308  8.9000000000000000E-01  8.8817841970012000E-16
199309  8.9000000000000000E-01  1.7763568394002000E-15
199310 -1.7800000000000000E+00  8.8817841970012000E-16
199311  5.5555555555648000E-04  1.8318679906315000E-15
199312  2.4450000000000000E+00  8.8817841970012000E-16
199401 -6.6611111111111000E-01  0.0000000000000000E+00
199402 -1.3547619047619000E-01 -2.4214285714285000E-01
199403  1.5544444444444000E+00  8.8817841970012000E-16
199404 -1.3188888888888000E+00  1.8873791418627000E-15
199405  9.7138888888889000E-01  6.6613381477509000E-16
199406  1.4061111111111000E+00  1.7763568394002000E-15
199407 -2.2261111111111000E+00  8.8817841970012000E-16
199408  8.9000000000000000E-01  8.8817841970012000E-16
199409  8.9000000000000000E-01  1.7763568394002000E-15
199410 -1.7800000000000000E+00  8.8817841970012000E-16
199411  5.5555555555649000E-04  1.6653345369377000E-15
199412  8.8944444444444000E-01  8.8817841970012000E-16
199501  8.8944444444444000E-01 -2.2204460492503000E-16
199502 -1.3547619047619000E-01 -2.4214285714285000E-01
199503  1.5544444444444000E+00  8.8817841970012000E-16
199504 -2.8744444444444000E+00  1.5543122344752000E-15
199505  9.7138888888889000E-01  8.8817841970012000E-16
199506 -1.4944444444444000E-01  1.9984014443252000E-15
199507 -2.2261111111111000E+00  8.8817841970012000E-16
199508  8.9000000000000000E-01  8.8817841970012000E-16
199509 -6.6555555555555000E-01  1.7763568394002000E-15
199510 -2.2444444444444000E-01  8.8817841970012000E-16
199511  1.5561111111111000E+00  1.7763568394002000E-15
199512 -2.2216666666666000E+00  8.8817841970012000E-16
199601  8.8944444444444000E-01 -2.2204460492503000E-16
199602  8.6452380952381000E-01  7.5785714285714000E-01
199603 -1.5566666666666000E+00  8.8817841970012000E-16
199604  2.3666666666666000E-01  1.8873791418627000E-15
199605 -5.8416666666666000E-01  8.8817841970012000E-16
199606 -1.7050000000000000E+00  1.5543122344752000E-15
199607  2.4405555555555000E+00  8.8817841970012000E-16
199608 -6.6555555555555000E-01  9.9920072216264000E-16
199609 -6.6555555555555000E-01  1.7763568394002000E-15
199610  1.3311111111111000E+00  8.8817841970012000E-16
199611 -1.5550000000000000E+00  1.8873791418627000E-15
199612 -6.6611111111111000E-01  8.3266726846886000E-16
199701  8.8944444444444000E-01  0.0000000000000000E+00
199702 -1.3547619047619000E-01 -2.4214285714285000E-01
199703 -3.1122222222222000E+00  8.8817841970012000E-16
199704  1.7922222222222000E+00  1.5543122344752000E-15
199705 -5.8416666666666000E-01  8.8817841970012000E-16
199706 -1.4944444444444000E-01  1.8318679906315000E-15
199707  8.8500000000000000E-01  8.8817841970012000E-16
199708 -2.2211111111111000E+00  8.8817841970012000E-16
199709  8.9000000000000000E-01  1.7763568394002000E-15
199710  1.3311111111111000E+00  8.8817841970012000E-16
199711 -1.5550000000000000E+00  1.9984014443252000E-15
199712  8.8944444444444000E-01  7.7715611723761000E-16
199801 -6.6611111111111000E-01  0.0000000000000000E+00
199802 -1.3547619047619000E-01 -2.4214285714285000E-01
199803 -1.1111111111098000E-03  8.8817841970012000E-16
199804  2.3666666666666000E-01  1.7208456881689000E-15
199805 -2.1397222222222000E+00  8.8817841970012000E-16
199806 -1.4944444444444000E-01  1.7763568394002000E-15
199807  8.8500000000000000E-01  9.9920072216264000E-16
199808 -6.6555555555555000E-01  8.8817841970012000E-16
199809  8.9000000000000000E-01  1.7763568394002000E-15
199810 -2.2444444444444000E-01  8.8817841970012000E-16
199811  5.5555555555648000E-04  1.8318679906315000E-15
199812  8.8944444444444000E-01  8.8817841970012000E-16
199901 -2.2216666666666000E+00  0.0000000000000000E+00
199902 -1.3547619047619000E-01 -2.4214285714285000E-01
199903  1.5544444444444000E+00  8.8817841970012000E-16
199904  2.3666666666666000E-01  1.7208456881689000E-15
199905 -5.8416666666666000E-01  8.3266726846886000E-16
199906  1.4061111111111000E+00  1.7763568394002000E-15
199907 -6.7055555555555000E-01  9.9920072216264000E-16
199908  8.9000000000000000E-01  8.8817841970012000E-16
199909  8.9000000000000000E-01  1.7763568394002000E-15
199910 -1.7800000000000000E+00  8.8817841970012000E-16
199911  5.5555555555648000E-04  1.8318679906315000E-15
199912  2.4450000000000000E+00  8.8817841970012000E-16
200001 -6.6611111111111000E-01  0.0000000000000000E+00
200002  8.6452380952381000E-01  7.5785714285714000E-01
200003  1.5544444444444000E+00  8.8817841970012000E-16
