date   REG1_contr  REG2_contr  lpyear
------ ------------------------  ------------------------  ------------------------
199001  7.5013392857143000E-01 -2.5075892857142000E-01 -2.2204460492503000E-16
199002 -1.5236607142857000E-01 -3.0401785714285000E-02 -2.4214285714285000E-01
199003  3.5531250000000000E-01  6.4156250000000000E-01  8.8817841970012000E-16
199004 -1.5558928571428000E+00 -4.2660714285714000E-01  1.5543122344752000E-15
199005  9.2435267857143000E-01 -8.4665178571428000E-02  9.9920072216264000E-16
199006 -1.3353571428571000E+00  6.6535714285714000E-01  1.9984014443252000E-15
199007  1.2272321428571000E-01 -1.3720982142857000E+00  8.8817841970012000E-16
199008  7.5116071428571000E-01 -2.4991071428571000E-01  7.7715611723761000E-16
199009 -1.8736160714285000E+00  6.2549107142857000E-01  1.7763568394002000E-15
199010  1.1224553571428000E+00 -3.7558035714285000E-01  8.8817841970012000E-16
199011  1.6246875000000000E+00  1.2343750000000000E-01  1.8318679906315000E-15
199012 -1.8753125000000000E+00  6.2343750000000000E-01  9.9920072216264000E-16
199101  7.5013392857143000E-01 -2.5075892857142000E-01 -1.1102230246251000E-16
199102 -1.5236607142857000E-01 -3.0401785714285000E-02 -2.4214285714285000E-01
199103 -1.2696875000000000E+00  5.1656250000000000E-01  8.8817841970012000E-16
199104  6.9107142857144000E-02 -3.0160714285714000E-01  1.8873791418627000E-15
199105 -7.0064732142857000E-01 -2.0966517857142000E-01  8.8817841970012000E-16
199106 -1.3353571428571000E+00  6.6535714285714000E-01  1.7763568394002000E-15
199107  2.3727232142857000E+00 -1.2209821428571000E-01  8.8817841970012000E-16
199108 -2.4883928571428000E-01  7.5008928571428000E-01  9.9920072216264000E-16
199109 -8.7361607142857000E-01 -3.7450892857142000E-01  1.7763568394002000E-15
199110  1.1224553571428000E+00 -3.7558035714285000E-01  8.8817841970012000E-16
199111 -1.0003125000000000E+00  9.9843750000000000E-01  1.7763568394002000E-15
199112 -8.7531250000000000E-01 -3.7656250000000000E-01  9.4368957093138000E-16
199201  7.5013392857143000E-01 -2.5075892857142000E-01 -5.5511151231257000E-17
199202 -1.5236607142857000E-01  9.6959821428571000E-01  7.5785714285714000E-01
199203 -2.6968749999999000E-01 -4.8343750000000000E-01  8.8817841970012000E-16
199204  6.9107142857144000E-02 -3.0160714285714000E-01  1.7208456881689000E-15
199205 -1.7006473214285000E+00  7.9033482142857000E-01  8.8817841970012000E-16
199206 -3.3535714285714000E-01 -3.3464285714285000E-01  1.7763568394002000E-15
199207  7.4772321428571000E-01 -2.4709821428571000E-01  9.9920072216264000E-16
199208 -8.7383928571428000E-01 -3.7491071428571000E-01  8.8817841970012000E-16
199209  7.5138392857143000E-01 -2.4950892857142000E-01  1.7763568394002000E-15
199210  1.2245535714285000E-01  6.2441964285714000E-01  8.8817841970012000E-16
199211 -3.1249999999905000E-04 -1.5624999999999000E-03  1.8873791418627000E-15
199212  7.4968750000000000E-01 -2.5156250000000000E-01  9.9920072216264000E-16
199301 -1.8748660714285000E+00  6.2424107142857000E-01 -1.1102230246251000E-16
199302 -1.5236607142857000E-01 -3.0401785714285000E-02 -2.4214285714285000E-01
199303  1.3553125000000000E+00 -3.5843750000000000E-01  8.8817841970012000E-16
199304  6.9107142857144000E-02 -3.0160714285714000E-01  1.7208456881689000E-15
199305 -1.3256473214285000E+00 -1.3346651785714000E+00  8.8817841970012000E-16
199306  1.2896428571428000E+00 -2.0964285714285000E-01  1.7763568394002000E-15
199307 -2.5227678571428000E-01  7.5290178571428000E-01  9.9920072216264000E-16
199308  7.5116071428571000E-01 -2.4991071428571000E-01  8.8817841970012000E-16
199309  7.5138392857143000E-01 -2.4950892857142000E-01  1.7763568394002000E-15
199310 -1.5025446428571000E+00  4.9941964285714000E-01  8.8817841970012000E-16
