date   REG1_contr  REG2_contr  REG3_contr  REG4_contr  REG5_contr  lpyear
------ ------------------------  ------------------------  ------------------------  ------------------------  ------------------------  ------------------------
199001 -2.2146825396825000E-01  7.7853174603174000E-01  7.7781746031746000E-01 -2.2325396825396000E-01 -2.2218253968254000E-01 -5.5511151231257000E-17
199002 -2.8095238095238000E-02 -2.6309523809523000E-02 -2.8095238095238000E-02 -2.5952380952380000E-02 -2.7023809523809000E-02 -2.4214285714285000E-01
199003 -2.8793650793650000E-01 -4.2900793650793000E-01 -4.2686507936507000E-01  5.7099206349206000E-01  5.7170634920635000E-01  8.8817841970012000E-16
199004  1.9650793650793000E-01 -3.7992063492063000E-01 -3.8027777777777000E-01 -3.7563492063492000E-01 -3.7956349206349000E-01  1.8318679906315000E-15
199005  3.5563492063492000E-01 -1.0716865079365000E+00  1.1811706349206000E+00  5.7902777777777000E-01 -7.2757936507936000E-02  8.8817841970012000E-16
199006 -1.1207142857142000E+00 -4.0714285714285000E-01 -3.9142857142857000E-01 -3.7857142857142000E-01  5.9285714285714000E-01  1.5543122344752000E-15
199007  7.7785714285714000E-01  7.7714285714285000E-01 -2.2428571428571000E-01 -2.2142857142857000E-01 -2.2428571428571000E-01  7.7715611723761000E-16
199008 -2.2178571428571000E-01 -2.2178571428571000E-01 -2.2142857142857000E-01  7.7821428571428000E-01  7.7678571428571000E-01  8.8817841970012000E-16
199009 -4.4436507936508000E-01 -4.4507936507936000E-01 -4.4400793650793000E-01 -4.4400793650793000E-01 -4.4365079365079000E-01  1.7763568394002000E-15
199010  6.6615079365079000E-01  6.6686507936508000E-01  6.6543650793650000E-01 -3.3420634920634000E-01 -3.3313492063492000E-01  8.8817841970012000E-16
199011  1.1043650793650000E-01  1.1222222222222000E-01  1.1115079365079000E-01  1.1150793650793000E-01  1.1107936507936000E+00  2.1094237467878000E-15
199012  5.5309523809523000E-01 -1.4440476190476000E+00 -4.4404761904761000E-01 -4.4476190476190000E-01 -4.4190476190476000E-01  8.3266726846886000E-16
199101 -2.2146825396825000E-01 -2.2146825396825000E-01  7.7781746031746000E-01  7.7674603174603000E-01 -2.2218253968254000E-01 -1.1102230246251000E-16
199102 -2.8095238095238000E-02 -2.6309523809523000E-02 -2.8095238095238000E-02 -2.5952380952380000E-02 -2.7023809523809000E-02 -2.4214285714285000E-01
199103 -3.9904761904761000E-01 -5.4011904761904000E-01 -5.3797619047619000E-01 -5.4011904761904000E-01  4.6059523809523000E-01  8.8817841970012000E-16
199104  3.0761904761904000E-01  7.3119047619047000E-01 -2.6916666666666000E-01 -2.6452380952380000E-01 -2.6845238095238000E-01  1.8318679906315000E-15
199105 -7.5547619047619000E-01 -1.8279761904761000E-01 -9.2994047619047000E-01  4.6791666666666000E-01  8.1613095238095000E-01  8.8817841970012000E-16
199106 -1.2071428571428000E-01 -4.0714285714285000E-01 -3.9142857142857000E-01 -3.7857142857142000E-01 -4.0714285714285000E-01  1.4988010832439000E-15
199107  8.8896825396825000E-01  8.8825396825396000E-01  8.8682539682539000E-01 -1.1031746031746000E-01 -1.1317460317460000E-01  7.7715611723761000E-16
199108 -3.3289682539682000E-01 -3.3289682539682000E-01 -3.3253968253968000E-01 -3.3289682539682000E-01  6.6567460317460000E-01  8.8817841970012000E-16
199109  6.6674603174603000E-01 -3.3396825396825000E-01 -3.3289682539682000E-01 -3.3289682539682000E-01 -3.3253968253968000E-01  1.7763568394002000E-15
199110 -3.3384920634920000E-01  6.6686507936508000E-01  6.6543650793650000E-01  6.6579365079365000E-01 -3.3313492063492000E-01  8.8817841970012000E-16
199111 -1.1117857142857000E+00 -1.0999999999999000E-01 -1.1107142857142000E-01 -1.1071428571428000E-01 -1.1142857142857000E-01  1.8873791418627000E-15
199112  6.6420634920635000E-01  6.6706349206349000E-01 -1.3329365079365000E+00 -3.3365079365079000E-01 -3.3079365079365000E-01  8.3266726846886000E-16
199201 -2.2146825396825000E-01 -2.2146825396825000E-01 -2.2218253968254000E-01  7.7674603174603000E-01  7.7781746031746000E-01 -1.1102230246251000E-16
199202 -1.3920634920634000E-01 -1.3742063492063000E-01 -1.3920634920634000E-01 -1.3706349206349000E-01 -1.3813492063492000E-01  7.5785714285714000E-01
199203  7.1206349206349000E-01  5.7099206349206000E-01 -4.2686507936507000E-01 -4.2900793650793000E-01 -4.2829365079365000E-01  8.8817841970012000E-16
199204 -6.9238095238095000E-01 -2.6880952380952000E-01  7.3083333333333000E-01  7.3547619047619000E-01 -2.6845238095238000E-01  1.7763568394002000E-15
199205  1.3341269841269000E-01 -2.9390873015873000E-01 -4.1051587301587000E-02 -6.4319444444444000E-01 -1.2949801587301000E+00  8.8817841970012000E-16
199206 -9.6031746031742000E-03  7.0396825396825000E-01 -2.8031746031746000E-01 -2.6746031746031000E-01 -2.9603174603174000E-01  1.7208456881689000E-15
199207 -2.2214285714285000E-01 -1.2228571428571000E+00  7.7571428571428000E-01  7.7857142857142000E-01  7.7571428571428000E-01  1.2212453270876000E-15
199208  6.6710317460317000E-01 -3.3289682539682000E-01 -3.3253968253968000E-01 -3.3289682539682000E-01 -3.3432539682539000E-01  9.9920072216264000E-16
199209 -2.2214285714285000E-01  7.7714285714285000E-01  7.7821428571428000E-01 -2.2178571428571000E-01 -2.2142857142857000E-01  1.7763568394002000E-15
199210 -4.4496031746031000E-01 -4.4424603174603000E-01 -4.4567460317460000E-01  5.5468253968254000E-01  5.5575396825396000E-01  8.8817841970012000E-16
199211  9.9932539682539000E-01  1.1111111111114000E-03 -9.9996031746031000E-01  3.9682539682575000E-04 -3.1746031746030000E-04  1.8318679906315000E-15
